name,comm_code,census_year,population,occupied dwellings,persons per unit
SETON,SET,04/01/1989 12:00:00 AM,0,0,0
SPRUCE CLIFF,SPR,04/01/1994 12:00:00 AM,3098,1317,2.35
PARKDALE,PKD,04/01/2013 12:00:00 AM,2305,917,2.51
DEER RIDGE,DRG,04/01/1997 12:00:00 AM,4808,1570,3.06
SPRUCE CLIFF,SPR,04/01/2001 12:00:00 AM,2776,1192,2.33
CHARLESWOOD/COLLINGWOOD,,04/01/1996 12:00:00 AM,6000,2408,2.49
BRIDGELAND/RIVERSIDE,BRD,04/01/2014 12:00:00 AM,5962,2954,2.02
GREENVIEW,GRV,04/01/1969 12:00:00 AM,1348,305,4.42
CRESTMONT,CRM,04/01/2013 12:00:00 AM,1517,459,3.31
EAGLE RIDGE,EAG,04/01/1968 12:00:00 AM,452,68,6.65
TEMPLE,TEM,04/01/2007 12:00:00 AM,11075,3488,3.18
RED CARPET,RED,04/01/1975 12:00:00 AM,993,310,3.2
FAIRVIEW,FAI,04/01/1988 12:00:00 AM,4027,1531,2.63
CHINOOK PARK,CHK,04/01/1974 12:00:00 AM,2213,583,3.8
TUXEDO PARK,TUX,04/01/1970 12:00:00 AM,4998,1865,2.68
PUMP HILL,PUM,04/01/1989 12:00:00 AM,1660,517,3.21
SOUTH CALGARY,SOC,04/01/1980 12:00:00 AM,3393,1586,2.14
ACADIA,ACA,04/01/1978 12:00:00 AM,12264,3771,3.25
ABBEYDALE,ABB,04/01/2000 12:00:00 AM,6624,1954,3.39
WEST HILLHURST,WHL,04/01/1994 12:00:00 AM,4916,2451,2.01
SHAWNESSY,SHN,04/01/2007 12:00:00 AM,9533,3253,2.93
DEER RUN,DRN,04/01/1978 12:00:00 AM,33,9,3.67
SOMERSET,SOM,04/01/1988 12:00:00 AM,15,5,3
DOWNTOWN EAST VILLAGE,DNE,04/01/1971 12:00:00 AM,916,331,2.77
CANYON MEADOWS,CAN,04/01/1988 12:00:00 AM,8423,2800,3.01
LAKE BONAVISTA,LKB,04/01/1988 12:00:00 AM,12258,3613,3.39
PALLISER,PAL,04/01/2010 12:00:00 AM,3198,1622,1.97
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,04/01/1990 12:00:00 AM,2638,926,2.85
PATTERSON,PAT,04/01/1990 12:00:00 AM,1305,639,2.04
HIGHLAND PARK,HPK,04/01/2010 12:00:00 AM,3472,1810,1.92
SHERWOOD,SHW,04/01/1987 12:00:00 AM,0,0,0
SOUTHVIEW,SOV,04/01/1992 12:00:00 AM,2391,850,2.81
MEADOWLARK PARK,MEA,04/01/2002 12:00:00 AM,679,289,2.35
DALHOUSIE,DAL,04/01/1975 12:00:00 AM,7783,2142,3.63
THORNCLIFFE,THO,04/01/1993 12:00:00 AM,9579,3558,2.69
ALTADORE,ALT,04/01/1975 12:00:00 AM,5828,2098,2.78
RED CARPET,RED,04/01/2001 12:00:00 AM,1555,710,2.19
CRANSTON,CRA,04/01/1986 12:00:00 AM,0,0,0
SCENIC ACRES,SCE,04/01/1990 12:00:00 AM,3467,1022,3.39
SILVER SPRINGS,SIL,04/01/1979 12:00:00 AM,9556,2999,3.19
VALLEY RIDGE,VAL,04/01/1998 12:00:00 AM,1796,617,2.91
NORTH HAVEN,NHV,04/01/1985 12:00:00 AM,2567,874,2.94
BEDDINGTON HEIGHTS,BED,04/01/2010 12:00:00 AM,11761,4183,2.81
GARRISON WOODS,GAW,04/01/2009 12:00:00 AM,0,0,0
KELVIN GROVE,KEL,04/01/1977 12:00:00 AM,2358,762,3.09
ROXBORO,ROX,04/01/2003 12:00:00 AM,406,153,2.65
GARRISON GREEN,GAG,04/01/2007 12:00:00 AM,828,432,1.92
DOUGLASDALE/GLEN,DDG,04/01/1983 12:00:00 AM,0,0,0
RANCHLANDS,RAN,04/01/1993 12:00:00 AM,8558,2877,2.97
BANKVIEW,BNK,04/01/1969 12:00:00 AM,5006,1980,2.53
KINCORA,KCA,04/01/1968 12:00:00 AM,0,0,0
ROYAL OAK,ROY,04/01/2015 12:00:00 AM,11749,4011,2.93
WEST HILLHURST,WHL,04/01/1978 12:00:00 AM,5548,2188,2.54
REDSTONE,RSN,04/01/1993 12:00:00 AM,0,0,0
INGLEWOOD,ING,04/01/2014 12:00:00 AM,3647,1981,1.84
ELBOYA,EYA,04/01/1997 12:00:00 AM,1743,759,2.3
DALHOUSIE,DAL,04/01/1970 12:00:00 AM,2220,561,3.96
ROXBORO,ROX,04/01/2010 12:00:00 AM,420,152,2.76
BEDDINGTON HEIGHTS,BED,04/01/1998 12:00:00 AM,13092,4186,3.13
EDGEMONT,EDG,04/01/1994 12:00:00 AM,13760,4107,3.35
CURRIE BARRACKS,CUR,04/01/2006 12:00:00 AM,0,,
BRIDGELAND/RIVERSIDE,BRD,04/01/1975 12:00:00 AM,5003,2147,2.33
POINT MCKAY,POI,04/01/1996 12:00:00 AM,1333,802,1.66
RUNDLE,RUN,04/01/1983 12:00:00 AM,11419,3296,3.46
DOWNTOWN COMMERCIAL CORE,DNC,04/01/1975 12:00:00 AM,6163,4132,1.49
CAPITOL HILL,CAP,04/01/1988 12:00:00 AM,3789,1910,1.98
SHAWNEE SLOPES,SHS,04/01/1999 12:00:00 AM,1420,479,2.96
VISTA HEIGHTS,VIS,04/01/2009 12:00:00 AM,2220,797,2.79
BRITANNIA,BRT,04/01/2007 12:00:00 AM,743,290,2.56
BRENTWOOD,BRE,04/01/2001 12:00:00 AM,6384,2521,2.53
HIDDEN VALLEY,HID,04/01/1993 12:00:00 AM,477,148,3.22
CRESCENT HEIGHTS,CRE,04/01/1987 12:00:00 AM,5541,3201,1.73
BRIDGELAND/RIVERSIDE,BRD,04/01/1989 12:00:00 AM,4470,2320,1.93
EAGLE RIDGE,EAG,04/01/2012 12:00:00 AM,415,97,4.28
MARTINDALE,MRT,04/01/2006 12:00:00 AM,11915,3513,3.39
DOWNTOWN WEST END,DNW,04/01/2005 12:00:00 AM,1750,1067,1.64
SUNDANCE,SDC,04/01/2002 12:00:00 AM,11790,3364,3.5
LINCOLN PARK,LPK,04/01/2012 12:00:00 AM,2505,1331,1.88
BRAESIDE,BRA,04/01/1969 12:00:00 AM,1366,333,4.1
ST. ANDREWS HEIGHTS,STA,04/01/1989 12:00:00 AM,1904,717,2.66
APPLEWOOD PARK,APP,04/01/1977 12:00:00 AM,0,0,0
ROSEDALE,RDL,04/01/2003 12:00:00 AM,1647,609,2.7
FALCONRIDGE,FAL,04/01/1972 12:00:00 AM,0,0,0
CHAPARRAL,CHA,04/01/2014 12:00:00 AM,12407,3919,3.17
REDSTONE,RSN,04/01/1976 12:00:00 AM,0,0,0
BANFF TRAIL,BNF,04/01/1999 12:00:00 AM,3454,1578,2.19
HAYSBORO,HAY,04/01/1995 12:00:00 AM,6197,2808,2
RED CARPET,RED,04/01/2015 12:00:00 AM,1668,884,1.89
RIDEAU PARK,RID,04/01/1972 12:00:00 AM,638,316,2.02
PARKLAND,PKL,04/01/2012 12:00:00 AM,3785,1419,2.67
APPLEWOOD PARK,APP,04/01/1992 12:00:00 AM,1297,365,3.55
WOODLANDS,WOO,04/01/1976 12:00:00 AM,83,3,27.67
COACH HILL,COA,04/01/1975 12:00:00 AM,28,9,3.11
BANKVIEW,BNK,04/01/1982 12:00:00 AM,5577,3046,1.83
OAKRIDGE,OAK,04/01/1993 12:00:00 AM,6883,2237,3.08
MAPLE RIDGE,MPL,04/01/2017 12:00:00 AM,1937,797,2.43
WOODBINE,WBN,04/01/1991 12:00:00 AM,11170,3279,3.41
RED CARPET,RED,04/01/1989 12:00:00 AM,1140,447,2.55
RANCHLANDS,RAN,04/01/2006 12:00:00 AM,7698,2905,2.65
WEST SPRINGS,WSP,04/01/1998 12:00:00 AM,260,85,3.06
SKYVIEW RANCH,SKR,04/01/2003 12:00:00 AM,0,0,0
KINCORA,KCA,04/01/2003 12:00:00 AM,0,0,0
QUEENS PARK VILLAGE,QPK,04/01/1970 12:00:00 AM,0,0,0
DOVER,DOV,04/01/1989 12:00:00 AM,11315,3594,3.15
TEMPLE,TEM,04/01/1972 12:00:00 AM,13,3,4.33
SHERWOOD,SHW,04/01/2012 12:00:00 AM,2523,728,3.47
RIVERBEND,RIV,04/01/1995 12:00:00 AM,9472,3192,2.97
SAGE HILL,SGH,04/01/2008 12:00:00 AM,78,24,3.25
BRITANNIA,BRT,04/01/1979 12:00:00 AM,901,314,2.87
DOWNTOWN EAST VILLAGE,DNE,04/01/2006 12:00:00 AM,2232,846,2.64
MCKENZIE TOWNE,MCT,04/01/1977 12:00:00 AM,0,0,0
SUNNYSIDE,SSD,04/01/2008 12:00:00 AM,3661,2210,1.66
UPPER MOUNT ROYAL,UMR,04/01/1973 12:00:00 AM,2927,985,2.97
NORTH HAVEN UPPER,NHU,04/01/1992 12:00:00 AM,783,245,3.2
NOLAN HILL,NOL,04/01/1970 12:00:00 AM,0,0,0
EDGEMONT,EDG,04/01/2009 12:00:00 AM,16534,5345,3.09
THORNCLIFFE,THO,04/01/2008 12:00:00 AM,8810,3620,2.43
NORTH HAVEN,NHV,04/01/1976 12:00:00 AM,2856,772,3.7
CANYON MEADOWS,CAN,04/01/1981 12:00:00 AM,8284,2484,3.33
MAYLAND HEIGHTS,MAL,04/01/2010 12:00:00 AM,5806,2614,2.22
TEMPLE,TEM,04/01/2008 12:00:00 AM,10926,3485,3.14
CLIFF BUNGALOW,CLI,04/01/1970 12:00:00 AM,2133,1065,2
DOWNTOWN WEST END,DNW,04/01/1999 12:00:00 AM,433,272,1.59
RANCHLANDS,RAN,04/01/1974 12:00:00 AM,11,4,2.75
GLENBROOK,GBK,04/01/1998 12:00:00 AM,7042,2930,2.4
EVANSTON,EVN,04/01/1997 12:00:00 AM,23,7,3.29
COUNTRY HILLS,COU,04/01/2016 12:00:00 AM,3829,1407,2.72
HIGHLAND PARK,HPK,04/01/1990 12:00:00 AM,3757,1823,2.06
SPRINGBANK HILL,SPH,04/01/1983 12:00:00 AM,0,0,0
CHINOOK PARK,CHK,04/01/1996 12:00:00 AM,1713,575,2.98
GREENWOOD/GREENBRIAR,GRE,04/01/2009 12:00:00 AM,935,477,1.96
LOWER MOUNT ROYAL,LMR,04/01/1978 12:00:00 AM,3042,1817,1.67
SETON,SET,04/01/2002 12:00:00 AM,0,0,0
WESTGATE,WGT,04/01/2000 12:00:00 AM,3347,1334,2.51
BELVEDERE,BVD,04/01/1981 12:00:00 AM,0,0,0
TEMPLE,TEM,04/01/2003 12:00:00 AM,11537,3462,3.33
GREENWOOD/GREENBRIAR,GRE,04/01/1998 12:00:00 AM,965,443,2.18
CORAL SPRINGS,COR,04/01/2014 12:00:00 AM,6018,1511,3.98
DISCOVERY RIDGE,DIS,04/01/1969 12:00:00 AM,0,0,0
MARTINDALE,MRT,04/01/1970 12:00:00 AM,0,0,0
SCENIC ACRES,SCE,04/01/2010 12:00:00 AM,8865,2893,3.06
RICHMOND,RIC,04/01/1973 12:00:00 AM,4574,1686,2.71
TUSCANY,TUS,04/01/1999 12:00:00 AM,2780,989,2.81
MEADOWLARK PARK,MEA,04/01/1974 12:00:00 AM,984,294,3.35
RED CARPET,RED,04/01/2005 12:00:00 AM,1752,897,1.95
HAWKWOOD,HAW,04/01/2016 12:00:00 AM,9697,3292,2.95
NORTH GLENMORE PARK,NGM,04/01/2007 12:00:00 AM,2458,980,2.51
SANDSTONE VALLEY,SAN,04/01/1973 12:00:00 AM,0,0,0
HIDDEN VALLEY,HID,04/01/2006 12:00:00 AM,11858,3823,3.1
SCENIC ACRES,SCE,04/01/1988 12:00:00 AM,2476,765,3.24
SILVER SPRINGS,SIL,04/01/2014 12:00:00 AM,8900,3470,2.56
CORAL SPRINGS,COR,04/01/1997 12:00:00 AM,2312,581,3.98
MIDNAPORE,MID,04/01/1999 12:00:00 AM,7280,2481,2.93
MACEWAN GLEN,MAC,04/01/2003 12:00:00 AM,5584,1760,3.17
MAYLAND HEIGHTS,MAL,04/01/1979 12:00:00 AM,5492,1675,3.28
GLENBROOK,GBK,04/01/2007 12:00:00 AM,6857,3083,2.22
CHINOOK PARK,CHK,04/01/1981 12:00:00 AM,1795,578,3.11
OAKRIDGE,OAK,04/01/2007 12:00:00 AM,5978,2238,2.67
CEDARBRAE,CED,04/01/2012 12:00:00 AM,6237,2573,2.42
WINDSOR PARK,WND,04/01/1992 12:00:00 AM,3555,2041,1.74
OGDEN,OGD,04/01/1996 12:00:00 AM,10178,3759,2.71
HILLHURST,HIL,04/01/2007 12:00:00 AM,5215,2523,2.07
STRATHCONA PARK,STR,04/01/1984 12:00:00 AM,2747,946,2.9
CHINATOWN,CHN,04/01/1993 12:00:00 AM,1267,760,1.67
GARRISON GREEN,GAG,04/01/1986 12:00:00 AM,659,196,3.36
VARSITY,VAR,04/01/2016 12:00:00 AM,12612,5537,2.28
MCKENZIE TOWNE,MCT,04/01/1983 12:00:00 AM,0,0,0
KELVIN GROVE,KEL,04/01/1982 12:00:00 AM,2366,777,3.05
DEER RUN,DRN,04/01/2007 12:00:00 AM,5679,2063,2.75
MANCHESTER,MAN,04/01/1986 12:00:00 AM,280,166,1.69
SILVER SPRINGS,SIL,04/01/1984 12:00:00 AM,10217,3184,3.21
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,04/01/1971 12:00:00 AM,3294,891,3.7
COUNTRY HILLS,COU,04/01/1970 12:00:00 AM,0,0,0
MONTEREY PARK,MOR,04/01/1979 12:00:00 AM,0,0,0
MARLBOROUGH PARK,MPK,04/01/2012 12:00:00 AM,8391,2910,2.88
CASTLERIDGE,CAS,04/01/1993 12:00:00 AM,6442,1772,3.64
EVERGREEN,EVE,04/01/1994 12:00:00 AM,695,209,3.33
TUSCANY,TUS,04/01/2012 12:00:00 AM,19013,6396,2.97
ROSSCARROCK,RCK,04/01/2007 12:00:00 AM,3270,1443,2.27
TEMPLE,TEM,04/01/1995 12:00:00 AM,11832,3421,3.46
PATTERSON,PAT,04/01/2002 12:00:00 AM,4111,1799,2.29
ROYAL OAK,ROY,04/01/1976 12:00:00 AM,0,0,0
FALCONRIDGE,FAL,04/01/2007 12:00:00 AM,10240,3254,3.15
DOVER,DOV,04/01/1977 12:00:00 AM,10647,2874,3.7
NORTH HAVEN,NHV,04/01/1991 12:00:00 AM,2617,945,2.77
SETON,SET,04/01/1968 12:00:00 AM,0,0,0
MAYFAIR,MAF,04/01/2017 12:00:00 AM,431,149,2.89
CHAPARRAL,CHA,04/01/1973 12:00:00 AM,0,0,0
DOVER,DOV,04/01/1985 12:00:00 AM,10619,3349,3.17
COUGAR RIDGE,CGR,04/01/1996 12:00:00 AM,55,19,2.89
ALBERT PARK/RADISSON HEIGHTS,ALB,04/01/1984 12:00:00 AM,6128,2181,2.81
SCARBORO/ SUNALTA WEST,SSW,04/01/2005 12:00:00 AM,386,163,2.37
WINSTON HEIGHTS/MOUNTVIEW,WIN,04/01/1998 12:00:00 AM,3705,1646,2.25
COUGAR RIDGE,CGR,04/01/1981 12:00:00 AM,0,0,0
BANKVIEW,BNK,04/01/1997 12:00:00 AM,5032,3142,1.6
WOODLANDS,WOO,04/01/1987 12:00:00 AM,6202,2041,3.04
GREENVIEW,GRV,04/01/1973 12:00:00 AM,1196,297,4.03
MONTEREY PARK,MOR,04/01/2011 12:00:00 AM,10460,3075,3.4
CHINOOK PARK,CHK,04/01/1987 12:00:00 AM,1772,578,3.07
CURRIE BARRACKS,CUR,04/01/1977 12:00:00 AM,0,,
SOMERSET,SOM,04/01/2008 12:00:00 AM,8444,3079,2.74
SUNALTA,SNA,04/01/1968 12:00:00 AM,2880,1129,2.55
ROYAL OAK,ROY,04/01/1973 12:00:00 AM,0,0,0
RENFREW,REN,04/01/1977 12:00:00 AM,6190,2320,2.67
AUBURN BAY,AUB,04/01/1980 12:00:00 AM,0,0,0
EAGLE RIDGE,EAG,04/01/1990 12:00:00 AM,532,108,4.93
DEER RUN,DRN,04/01/1972 12:00:00 AM,0,0,0
QUEENSLAND,QLD,04/01/1975 12:00:00 AM,1735,506,3.43
RENFREW,REN,04/01/1969 12:00:00 AM,7985,2487,3.21
CURRIE BARRACKS,CUR,04/01/1968 12:00:00 AM,0,,
COACH HILL,COA,04/01/1997 12:00:00 AM,3084,1256,2.46
WINDSOR PARK,WND,04/01/2007 12:00:00 AM,3772,2192,1.72
WILLOW PARK,WIL,04/01/1998 12:00:00 AM,5728,2226,2.57
MAYFAIR,MAF,04/01/2006 12:00:00 AM,473,153,3.09
DEER RIDGE,DRG,04/01/2012 12:00:00 AM,4084,1444,2.83
ROCKY RIDGE,ROC,04/01/1970 12:00:00 AM,0,0,0
INGLEWOOD,ING,04/01/1972 12:00:00 AM,3165,1171,2.7
VALLEY RIDGE,VAL,04/01/2017 12:00:00 AM,5622,1915,2.94
ERLTON,ERL,04/01/1977 12:00:00 AM,797,338,2.36
HARVEST HILLS,HAR,04/01/1988 12:00:00 AM,0,0,0
SOUTHVIEW,SOV,04/01/1997 12:00:00 AM,2263,866,2.61
SKYVIEW RANCH,SKR,04/01/2002 12:00:00 AM,11,3,3.67
GARRISON WOODS,GAW,04/01/1991 12:00:00 AM,0,0,0
PANORAMA HILLS,PAN,04/01/1999 12:00:00 AM,1000,297,3.37
RICHMOND,RIC,04/01/2008 12:00:00 AM,3892,1898,2.05
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,04/01/1977 12:00:00 AM,2882,885,3.26
CRESCENT HEIGHTS,CRE,04/01/2014 12:00:00 AM,6235,3370,1.85
SANDSTONE VALLEY,SAN,04/01/1985 12:00:00 AM,917,296,3.1
CAMBRIAN HEIGHTS,CAM,04/01/1995 12:00:00 AM,2110,882,2.39
CHAPARRAL,CHA,04/01/1999 12:00:00 AM,2819,932,3.02
SHAWNESSY,SHN,04/01/1993 12:00:00 AM,7058,2196,3.21
UPPER MOUNT ROYAL,UMR,04/01/1978 12:00:00 AM,2857,1041,2.74
CRANSTON,CRA,04/01/1997 12:00:00 AM,0,0,0
EVERGREEN,EVE,04/01/1977 12:00:00 AM,0,0,0
CITADEL,CIT,04/01/1968 12:00:00 AM,0,0,0
MAYLAND HEIGHTS,MAL,04/01/1971 12:00:00 AM,6125,1491,4.11
CHINATOWN,CHN,04/01/2000 12:00:00 AM,1281,743,1.72
ROSEDALE,RDL,04/01/2008 12:00:00 AM,1576,593,2.66
ELBOW PARK,EPK,04/01/1986 12:00:00 AM,3295,1173,2.81
RED CARPET,RED,04/01/1981 12:00:00 AM,1129,413,2.73
WEST SPRINGS,WSP,04/01/1982 12:00:00 AM,0,0,0
PATTERSON,PAT,04/01/2007 12:00:00 AM,4095,1833,2.23
CRANSTON,CRA,04/01/2012 12:00:00 AM,11857,4139,2.86
LAKE BONAVISTA,LKB,04/01/2007 12:00:00 AM,10459,3655,2.86
SHERWOOD,SHW,04/01/2003 12:00:00 AM,0,0,0
RENFREW,REN,04/01/1996 12:00:00 AM,5384,2662,2.02
SHERWOOD,SHW,04/01/2013 12:00:00 AM,3122,947,3.3
DALHOUSIE,DAL,04/01/2002 12:00:00 AM,9229,3612,2.56
COUGAR RIDGE,CGR,04/01/1982 12:00:00 AM,0,0,0
EDGEMONT,EDG,04/01/1978 12:00:00 AM,0,0,0
CURRIE BARRACKS,CUR,04/01/1983 12:00:00 AM,11,,
CEDARBRAE,CED,04/01/2013 12:00:00 AM,6273,2567,2.44
MANCHESTER,MAN,04/01/1975 12:00:00 AM,439,171,2.57
VISTA HEIGHTS,VIS,04/01/2013 12:00:00 AM,2282,821,2.78
NEW BRIGHTON,NEB,04/01/1973 12:00:00 AM,0,0,0
MCKENZIE LAKE,MCK,04/01/2000 12:00:00 AM,14313,4349,3.29
BELTLINE,BLN,04/01/1992 12:00:00 AM,15652,9766,1.6
BELTLINE,BLN,04/01/2014 12:00:00 AM,21357,13385,1.6
THORNCLIFFE,THO,04/01/1981 12:00:00 AM,10687,3603,2.97
SPRINGBANK HILL,SPH,04/01/1977 12:00:00 AM,0,0,0
RICHMOND,RIC,04/01/2002 12:00:00 AM,4106,1966,2.09
WALDEN,WAL,04/01/2005 12:00:00 AM,0,0,0
HIGHWOOD,HIW,04/01/1973 12:00:00 AM,3078,856,3.6
BANFF TRAIL,BNF,04/01/1998 12:00:00 AM,3431,1577,2.18
WILDWOOD,WLD,04/01/1983 12:00:00 AM,3058,1046,2.92
PARKHILL,PKH,04/01/2012 12:00:00 AM,1592,779,2.04
SHAWNESSY,SHN,04/01/1979 12:00:00 AM,0,0,0
COPPERFIELD,CPF,04/01/1998 12:00:00 AM,0,0,0
SHAWNEE SLOPES,SHS,04/01/2000 12:00:00 AM,1533,533,2.88
DOUGLASDALE/GLEN,DDG,04/01/2010 12:00:00 AM,11546,3920,2.95
ERLTON,ERL,04/01/1968 12:00:00 AM,1019,358,2.85
GREENVIEW,GRV,04/01/1986 12:00:00 AM,2094,908,2.31
KILLARNEY/GLENGARRY,KIL,04/01/2005 12:00:00 AM,6608,3227,2.05
CAMBRIAN HEIGHTS,CAM,04/01/1976 12:00:00 AM,2793,861,3.24
GREENVIEW,GRV,04/01/2012 12:00:00 AM,1975,1054,1.87
RED CARPET,RED,04/01/1971 12:00:00 AM,16,4,4
GREENVIEW,GRV,04/01/2008 12:00:00 AM,1966,1025,1.92
LINCOLN PARK,LPK,04/01/2009 12:00:00 AM,2586,1354,1.91
HUNTINGTON HILLS,HUN,04/01/1998 12:00:00 AM,14669,5145,2.85
CHARLESWOOD/COLLINGWOOD,,04/01/1995 12:00:00 AM,6009,2404,2.5
ACADIA,ACA,04/01/1970 12:00:00 AM,11606,2722,4.26
PARKHILL,PKH,04/01/2010 12:00:00 AM,1603,776,2.07
COUNTRY HILLS VILLAGE,CHV,04/01/1982 12:00:00 AM,0,0,0
FALCONRIDGE,FAL,04/01/2016 12:00:00 AM,10881,3329,3.27
PENBROOKE MEADOWS,PEN,04/01/2015 12:00:00 AM,8864,3112,2.85
CORNERSTONE,CNS,04/01/2011 12:00:00 AM,0,0,0
COACH HILL,COA,04/01/1968 12:00:00 AM,31,6,5.17
GREENVIEW,GRV,04/01/1995 12:00:00 AM,2174,1035,2.1
SCARBORO/ SUNALTA WEST,SSW,04/01/1982 12:00:00 AM,419,159,2.64
CHRISTIE PARK,CHR,04/01/2002 12:00:00 AM,2360,725,3.26
DOWNTOWN COMMERCIAL CORE,DNC,04/01/1994 12:00:00 AM,6478,4318,1.5
PARKHILL,PKH,04/01/1988 12:00:00 AM,1360,693,1.96
ELBOYA,EYA,04/01/1996 12:00:00 AM,1645,734,2.24
MISSION,MIS,04/01/2004 12:00:00 AM,3603,2498,1.44
ST. ANDREWS HEIGHTS,STA,04/01/1970 12:00:00 AM,2484,620,4.01
TEMPLE,TEM,04/01/2014 12:00:00 AM,11303,3571,3.17
BAYVIEW,BYV,04/01/1968 12:00:00 AM,17,4,4.25
HIGHLAND PARK,HPK,04/01/2013 12:00:00 AM,3737,1877,1.99
HIGHWOOD,HIW,04/01/2000 12:00:00 AM,2140,907,2.36
MCKENZIE LAKE,MCK,04/01/2011 12:00:00 AM,14062,4562,3.08
MEADOWLARK PARK,MEA,04/01/1992 12:00:00 AM,671,291,2.31
RANCHLANDS,RAN,04/01/1991 12:00:00 AM,8727,2869,3.04
SUNALTA,SNA,04/01/2007 12:00:00 AM,3241,1909,1.7
BELVEDERE,BVD,04/01/1980 12:00:00 AM,0,0,0
BANKVIEW,BNK,04/01/1998 12:00:00 AM,5238,3213,1.63
SHERWOOD,SHW,04/01/1973 12:00:00 AM,0,0,0
RENFREW,REN,04/01/1992 12:00:00 AM,5441,2595,2.1
CEDARBRAE,CED,04/01/2000 12:00:00 AM,6737,2428,2.77
PANORAMA HILLS,PAN,04/01/2007 12:00:00 AM,11896,3632,3.28
PARKDALE,PKD,04/01/2000 12:00:00 AM,1740,829,2.1
MIDNAPORE,MID,04/01/1979 12:00:00 AM,3083,955,3.23
QUEENSLAND,QLD,04/01/2008 12:00:00 AM,5026,1839,2.73
NORTH HAVEN UPPER,NHU,04/01/2000 12:00:00 AM,690,242,2.85
ARBOUR LAKE,ARB,04/01/1984 12:00:00 AM,0,0,0
HUNTINGTON HILLS,HUN,04/01/1995 12:00:00 AM,14564,5074,2.87
CRANSTON,CRA,04/01/1989 12:00:00 AM,17,6,2.83
MACEWAN GLEN,MAC,04/01/2007 12:00:00 AM,5382,1751,3.07
CASTLERIDGE,CAS,04/01/2001 12:00:00 AM,6405,1810,3.54
PUMP HILL,PUM,04/01/2001 12:00:00 AM,1913,552,3.47
HIGHWOOD,HIW,04/01/2016 12:00:00 AM,2329,934,2.49
SAGE HILL,SGH,04/01/2012 12:00:00 AM,2189,809,2.71
COVENTRY HILLS,COV,04/01/1991 12:00:00 AM,27,9,3
UNIVERSITY HEIGHTS,UNI,04/01/1986 12:00:00 AM,2901,1227,2.36
OAKRIDGE,OAK,04/01/1988 12:00:00 AM,7204,2235,3.22
COUGAR RIDGE,CGR,04/01/1988 12:00:00 AM,0,0,0
WINSTON HEIGHTS/MOUNTVIEW,WIN,04/01/1997 12:00:00 AM,3707,1616,2.29
PENBROOKE MEADOWS,PEN,04/01/1982 12:00:00 AM,10031,2757,3.64
VARSITY,VAR,04/01/1995 12:00:00 AM,12374,5126,2.41
HUNTINGTON HILLS,HUN,04/01/2016 12:00:00 AM,13497,5364,2.52
CHINATOWN,CHN,04/01/1991 12:00:00 AM,1310,732,1.79
RICHMOND,RIC,04/01/1989 12:00:00 AM,3714,1752,2.12
EAU CLAIRE,EAU,04/01/1973 12:00:00 AM,616,264,2.33
COUNTRY HILLS,COU,04/01/2002 12:00:00 AM,3679,1411,2.61
UNIVERSITY OF CALGARY,UOC,04/01/1992 12:00:00 AM,1864,704,2.65
ROYAL OAK,ROY,04/01/1998 12:00:00 AM,80,29,2.76
EVERGREEN,EVE,04/01/2010 12:00:00 AM,18692,6372,2.93
COUGAR RIDGE,CGR,04/01/2015 12:00:00 AM,6954,2159,3.22
ALTADORE,ALT,04/01/1990 12:00:00 AM,6643,2754,2.41
BELTLINE,BLN,04/01/2017 12:00:00 AM,23219,14716,1.58
THORNCLIFFE,THO,04/01/2011 12:00:00 AM,8640,3619,2.39
KINCORA,KCA,04/01/1993 12:00:00 AM,13,2,6.5
NORTH HAVEN UPPER,NHU,04/01/1993 12:00:00 AM,773,246,3.14
COUNTRY HILLS,COU,04/01/1973 12:00:00 AM,0,0,0
RED CARPET,RED,04/01/1990 12:00:00 AM,1330,506,2.63
RANCHLANDS,RAN,04/01/2013 12:00:00 AM,7833,3001,2.61
BEL-AIRE,BEL,04/01/2002 12:00:00 AM,482,152,3.17
BAYVIEW,BYV,04/01/1979 12:00:00 AM,781,203,3.85
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,04/01/1998 12:00:00 AM,2612,912,2.86
RIDEAU PARK,RID,04/01/2000 12:00:00 AM,635,313,2.03
HIDDEN VALLEY,HID,04/01/1995 12:00:00 AM,2194,729,3.01
SETON,SET,04/01/2003 12:00:00 AM,0,0,0
CRESCENT HEIGHTS,CRE,04/01/1971 12:00:00 AM,5818,2332,2.49
DISCOVERY RIDGE,DIS,04/01/1990 12:00:00 AM,0,0,0
QUEENSLAND,QLD,04/01/1992 12:00:00 AM,5844,1770,3.3
COUNTRY HILLS,COU,04/01/2005 12:00:00 AM,3695,1402,2.64
NORTH GLENMORE PARK,NGM,04/01/1996 12:00:00 AM,2511,982,2.56
LINCOLN PARK,LPK,04/01/1996 12:00:00 AM,1188,540,2.2
GARRISON WOODS,GAW,04/01/1976 12:00:00 AM,0,0,0
HAWKWOOD,HAW,04/01/2008 12:00:00 AM,10205,3290,3.1
TUSCANY,TUS,04/01/1973 12:00:00 AM,0,0,0
CRANSTON,CRA,04/01/1988 12:00:00 AM,11,3,3.67
