name,comm_code,census_year,population,occupied dwellings,persons per unit
DEER RIDGE,DRG,04/01/1996 12:00:00 AM,4749,1538,3.09
SADDLE RIDGE,SAD,04/01/2016 12:00:00 AM,19256,4877,3.95
LAKEVIEW,LKV,04/01/1968 12:00:00 AM,7181,1626,4.42
ROSSCARROCK,RCK,04/01/1989 12:00:00 AM,3400,1450,2.34
KELVIN GROVE,KEL,04/01/2004 12:00:00 AM,2227,885,2.52
TARADALE,TAR,04/01/2000 12:00:00 AM,2267,723,3.14
SOMERSET,SOM,04/01/1994 12:00:00 AM,0,0,0
TEMPLE,TEM,04/01/1997 12:00:00 AM,11980,3458,3.46
WALDEN,WAL,04/01/1970 12:00:00 AM,0,0,0
OAKRIDGE,OAK,04/01/1990 12:00:00 AM,7021,2249,3.12
CITADEL,CIT,04/01/2014 12:00:00 AM,10391,3450,3.01
HILLHURST,HIL,04/01/1972 12:00:00 AM,5253,2161,2.43
BELVEDERE,BVD,04/01/2012 12:00:00 AM,0,0,0
FAIRVIEW,FAI,04/01/1997 12:00:00 AM,3785,1537,2.46
AUBURN BAY,AUB,04/01/1971 12:00:00 AM,0,0,0
TEMPLE,TEM,04/01/2006 12:00:00 AM,11000,3476,3.16
WINSTON HEIGHTS/MOUNTVIEW,WIN,04/01/1995 12:00:00 AM,3734,1615,2.31
HUNTINGTON HILLS,HUN,04/01/2014 12:00:00 AM,13536,5365,2.52
ELBOYA,EYA,04/01/1994 12:00:00 AM,1649,712,2.32
ARBOUR LAKE,ARB,04/01/2016 12:00:00 AM,10921,3874,2.82
MAYLAND HEIGHTS,MAL,04/01/2005 12:00:00 AM,5901,2612,2.26
EAGLE RIDGE,EAG,04/01/1997 12:00:00 AM,442,104,4.25
PINERIDGE,PIN,04/01/1992 12:00:00 AM,10404,3350,3.11
PANORAMA HILLS,PAN,04/01/2008 12:00:00 AM,14288,4366,3.27
WOODBINE,WBN,04/01/2002 12:00:00 AM,10732,3341,3.21
HAYSBORO,HAY,04/01/2007 12:00:00 AM,6020,2845,2
MAYFAIR,MAF,04/01/1986 12:00:00 AM,568,184,3.09
BELVEDERE,BVD,04/01/1975 12:00:00 AM,0,0,0
GARRISON WOODS,GAW,04/01/1984 12:00:00 AM,0,0,0
PALLISER,PAL,04/01/1989 12:00:00 AM,3187,1407,2.27
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,04/01/1983 12:00:00 AM,2787,911,3.06
ELBOYA,EYA,04/01/2008 12:00:00 AM,1651,719,2.3
RAMSAY,RAM,04/01/1982 12:00:00 AM,2443,1030,2.37
BRIDLEWOOD,BRI,04/01/2015 12:00:00 AM,13045,4163,3.13
RUNDLE,RUN,04/01/1989 12:00:00 AM,11582,3443,3.36
MARLBOROUGH PARK,MPK,04/01/1998 12:00:00 AM,9307,2870,3.24
COUGAR RIDGE,CGR,04/01/1992 12:00:00 AM,15,6,2.5
RIDEAU PARK,RID,04/01/1982 12:00:00 AM,630,321,1.96
NEW BRIGHTON,NEB,04/01/1993 12:00:00 AM,0,0,0
MOUNT PLEASANT,MOP,04/01/1990 12:00:00 AM,4447,2123,2.09
QUEENS PARK VILLAGE,QPK,04/01/1996 12:00:00 AM,421,186,2.26
WHITEHORN,WHI,04/01/2009 12:00:00 AM,11807,3548,3.33
NEW BRIGHTON,NEB,04/01/2010 12:00:00 AM,6078,2121,2.87
LEGACY,LEG,04/01/2014 12:00:00 AM,351,125,2.81
WEST HILLHURST,WHL,04/01/2011 12:00:00 AM,5757,2592,2.22
ROYAL OAK,ROY,04/01/2007 12:00:00 AM,8687,3025,2.87
CHINATOWN,CHN,04/01/1975 12:00:00 AM,381,129,2.95
WILLOW PARK,WIL,04/01/1974 12:00:00 AM,7106,1896,3.75
BAYVIEW,BYV,04/01/1977 12:00:00 AM,799,198,4.04
HARVEST HILLS,HAR,04/01/2011 12:00:00 AM,7485,2540,2.95
RED CARPET,RED,04/01/2009 12:00:00 AM,1657,885,1.87
COACH HILL,COA,04/01/1980 12:00:00 AM,1586,606,2.62
ROSSCARROCK,RCK,04/01/1981 12:00:00 AM,3734,1457,2.56
CORNERSTONE,CNS,04/01/2003 12:00:00 AM,0,0,0
CORNERSTONE,CNS,04/01/1989 12:00:00 AM,0,0,0
ACADIA,ACA,04/01/1976 12:00:00 AM,12559,3552,3.54
CHRISTIE PARK,CHR,04/01/2010 12:00:00 AM,2229,715,3.12
TARADALE,TAR,04/01/1984 12:00:00 AM,289,103,2.81
SANDSTONE VALLEY,SAN,04/01/1995 12:00:00 AM,6670,1975,3.38
OGDEN,OGD,04/01/1984 12:00:00 AM,10741,3585,3
HIGHWOOD,HIW,04/01/1974 12:00:00 AM,2945,854,3.45
MANCHESTER,MAN,04/01/2014 12:00:00 AM,1332,649,2.05
NORTH GLENMORE PARK,NGM,04/01/1984 12:00:00 AM,2808,965,2.91
HILLHURST,HIL,04/01/2006 12:00:00 AM,5288,2607,2.03
GLENBROOK,GBK,04/01/1974 12:00:00 AM,6097,1781,3.42
SHERWOOD,SHW,04/01/1982 12:00:00 AM,0,0,0
ROCKY RIDGE,ROC,04/01/1981 12:00:00 AM,0,0,0
APPLEWOOD PARK,APP,04/01/1973 12:00:00 AM,0,0,0
SCENIC ACRES,SCE,04/01/2013 12:00:00 AM,8599,2887,2.98
PINERIDGE,PIN,04/01/1968 12:00:00 AM,30,7,4.29
CAPITOL HILL,CAP,04/01/2009 12:00:00 AM,4178,2079,2.01
SUNNYSIDE,SSD,04/01/1996 12:00:00 AM,3582,2187,1.64
ROSEDALE,RDL,04/01/1992 12:00:00 AM,1595,650,2.45
CRANSTON,CRA,04/01/2013 12:00:00 AM,13496,4651,2.9
CURRIE BARRACKS,CUR,04/01/1974 12:00:00 AM,0,,
SOUTH CALGARY,SOC,04/01/1998 12:00:00 AM,3464,1758,1.97
RIVERBEND,RIV,04/01/1985 12:00:00 AM,1278,426,3
WILLOW PARK,WIL,04/01/1970 12:00:00 AM,6235,1456,4.28
VISTA HEIGHTS,VIS,04/01/2012 12:00:00 AM,2204,816,2.7
INGLEWOOD,ING,04/01/1996 12:00:00 AM,2587,1307,1.98
CHARLESWOOD/COLLINGWOOD,,04/01/1989 12:00:00 AM,6219,2371,2.62
CITYSCAPE,CSC,04/01/2008 12:00:00 AM,0,0,0
RED CARPET,RED,04/01/1994 12:00:00 AM,1269,489,2.6
FAIRVIEW,FAI,04/01/1994 12:00:00 AM,3774,1487,2.54
SUNALTA,SNA,04/01/1996 12:00:00 AM,2899,1862,1.56
SIGNAL HILL,SIG,04/01/1995 12:00:00 AM,6134,2051,2.99
NORTH HAVEN UPPER,NHU,04/01/2016 12:00:00 AM,620,241,2.57
HARVEST HILLS,HAR,04/01/1983 12:00:00 AM,0,0,0
DOWNTOWN EAST VILLAGE,DNE,04/01/2011 12:00:00 AM,2747,1003,2.74
REDSTONE,RSN,04/01/1978 12:00:00 AM,0,0,0
SETON,SET,04/01/1991 12:00:00 AM,0,0,0
ROSSCARROCK,RCK,04/01/1999 12:00:00 AM,3362,1480,2.27
RUTLAND PARK,RUT,04/01/1991 12:00:00 AM,2594,949,2.73
SIGNAL HILL,SIG,04/01/1969 12:00:00 AM,78,23,3.39
CHINATOWN,CHN,04/01/2010 12:00:00 AM,1209,754,1.6
COUGAR RIDGE,CGR,04/01/2006 12:00:00 AM,4375,1519,2.88
ROSSCARROCK,RCK,04/01/2006 12:00:00 AM,3200,1476,2.17
DALHOUSIE,DAL,04/01/1996 12:00:00 AM,9036,3359,2.69
DISCOVERY RIDGE,DIS,04/01/1984 12:00:00 AM,0,0,0
SCENIC ACRES,SCE,04/01/2012 12:00:00 AM,8650,2895,2.99
ELBOW PARK,EPK,04/01/1977 12:00:00 AM,3501,1170,2.99
ST. ANDREWS HEIGHTS,STA,04/01/1995 12:00:00 AM,1946,691,2.82
RIDEAU PARK,RID,04/01/2005 12:00:00 AM,648,321,2.02
SUNALTA,SNA,04/01/2012 12:00:00 AM,3314,2027,1.63
BONAVISTA DOWNS,BDO,04/01/2012 12:00:00 AM,925,365,2.53
GREENWOOD/GREENBRIAR,GRE,04/01/1983 12:00:00 AM,1106,472,2.34
CITADEL,CIT,04/01/1978 12:00:00 AM,0,0,0
HIGHWOOD,HIW,04/01/2014 12:00:00 AM,2229,936,2.38
SUNNYSIDE,SSD,04/01/1972 12:00:00 AM,3517,1536,2.29
SETON,SET,04/01/2006 12:00:00 AM,0,0,0
ROSEDALE,RDL,04/01/1968 12:00:00 AM,1788,681,2.63
BONAVISTA DOWNS,BDO,04/01/1996 12:00:00 AM,1068,366,2.92
BRENTWOOD,BRE,04/01/1996 12:00:00 AM,6324,2517,2.51
SIGNAL HILL,SIG,04/01/2008 12:00:00 AM,13959,5149,2.71
MEADOWLARK PARK,MEA,04/01/1975 12:00:00 AM,961,293,3.28
CITADEL,CIT,04/01/1994 12:00:00 AM,1598,580,2.76
SHAGANAPPI,SHG,04/01/1970 12:00:00 AM,2067,700,2.95
MAYFAIR,MAF,04/01/2003 12:00:00 AM,571,182,3.14
GREENVIEW,GRV,04/01/1983 12:00:00 AM,1976,737,2.68
BRIDLEWOOD,BRI,04/01/1998 12:00:00 AM,432,157,2.75
PINERIDGE,PIN,04/01/1987 12:00:00 AM,10119,3243,3.12
GLENDALE,GDL,04/01/1987 12:00:00 AM,2728,1056,2.58
HIDDEN VALLEY,HID,04/01/2014 12:00:00 AM,11874,3839,3.09
TUSCANY,TUS,04/01/1974 12:00:00 AM,0,0,0
MONTEREY PARK,MOR,04/01/2015 12:00:00 AM,10835,3129,3.46
TUXEDO PARK,TUX,04/01/1968 12:00:00 AM,5073,1820,2.79
CAPITOL HILL,CAP,04/01/1977 12:00:00 AM,3784,1638,2.31
SCARBORO,SCA,04/01/2006 12:00:00 AM,941,334,2.82
MIDNAPORE,MID,04/01/2006 12:00:00 AM,7276,2610,2.79
BANKVIEW,BNK,04/01/2010 12:00:00 AM,4752,2967,1.6
SANDSTONE VALLEY,SAN,04/01/2002 12:00:00 AM,6918,2096,3.3
DOWNTOWN EAST VILLAGE,DNE,04/01/2004 12:00:00 AM,2080,822,2.53
BELVEDERE,BVD,04/01/1979 12:00:00 AM,0,0,0
RIDEAU PARK,RID,04/01/1985 12:00:00 AM,636,330,1.93
PUMP HILL,PUM,04/01/1981 12:00:00 AM,1222,353,3.46
CRESTMONT,CRM,04/01/2009 12:00:00 AM,1382,428,3.23
